roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930011,REC302,26,60,8.25,86
1783930011,REC303,29,63,8.25,92
1783930011,REC351,46,48,8.25,94
1783930011,REC352,38,38,8.25,76
1783930011,REC353,49,49,8.25,98
1783930011,REC354,42,47,8.25,89
1783930011,ROE047,19,47,7.63,66
1783930011,RAS402,21,44,7.63,65
1783930011,REC401,18,43,7.63,61
1783930011,REC402,28,65,7.63,93
1783930011,REC403,23,39,7.63,62
1783930011,RCS406,19,34,7.63,53
1783930011,REC451,38,40,7.63,78
1783930011,REC452,35,39,7.63,74
1783930011,REC453,39,42,7.63,81
1783930011,RCS456,44,39,7.63,83
1783930011,RAS501,22,36,7.92,58
1783930011,RAS502,23,50,7.92,73
1783930011,REC501A,21,36,7.92,57
